,puma,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,28.598136945145196,30.956674730591597,21.799220211113575
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,#DIV/0!
2,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,0.0,#DIV/0!,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,13.97804054054054,7.318501170960187,31.212121212121215
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",65.33678756476684,65.74626865671642,64.40677966101694
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",23.82208820203543,25.995449374288963,19.553072625698324
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
8,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,#DIV/0!
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",52.30125523012552,69.83240223463687,0.0
11,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,74.3801652892562,100.0,0.0
13,Columbia & Greene Counties PUMA,100.0,100.0,#DIV/0!
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,#DIV/0!
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,18.21366024518389,18.439716312056735,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,37.639198218262806,38.29611248966088,31.88405797101449
17,Putnam County PUMA,81.56565656565657,81.56565656565657,#DIV/0!
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,28.993055555555557,28.993055555555557,#DIV/0!
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,28.451753025131865,34.14927768860353,9.028727770177838
20,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",49.26727145847872,55.32994923857868,41.86046511627907
22,Orange County (Northwest) PUMA,0.0,0.0,#DIV/0!
