,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,26.144837727129506,23.04535619243428,29.610404056321315,52.95618457444946,52.21972592291686,53.77962755258109,20.898977698421035,24.734917884648866,16.6099683910976
1,Westchester County (Southwest)--Yonkers City PUMA,19.62035412346467,15.316455696202533,23.994853650691542,57.39352368798851,58.164556962025316,56.609842393052425,22.98612218854682,26.518987341772153,19.39530395625603
2,St. Lawrence County PUMA,31.775700934579437,14.814814814814813,49.056603773584904,50.467289719626166,50.0,50.943396226415096,17.75700934579439,35.18518518518518,0.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",27.44949494949495,19.62566844919786,34.44976076555024,60.1010101010101,60.481283422459896,59.760765550239235,12.44949494949495,19.893048128342247,5.7894736842105265
4,Erie County (Central) PUMA,26.174496644295303,23.300970873786408,32.608695652173914,65.77181208053692,65.0485436893204,67.3913043478261,8.053691275167784,11.650485436893204,0.0
5,Monroe County (South) PUMA,33.214285714285715,33.87096774193548,32.69230769230769,48.57142857142857,25.0,67.3076923076923,18.21428571428571,41.12903225806452,0.0
6,Onondaga County (North) PUMA,42.72727272727273,0.0,63.51351351351351,57.27272727272727,100.0,36.486486486486484,0.0,0.0,0.0
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",17.811447811447813,11.886120996441282,23.130990415335464,63.67003367003367,69.89323843416369,58.08306709265175,18.51851851851852,18.22064056939502,18.78594249201278
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1.015228426395939,0.0,3.9215686274509802,71.06598984771574,62.328767123287676,96.07843137254902,27.918781725888326,37.67123287671233,0.0
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,17.846153846153847,15.171288743882544,20.232896652110625,61.07692307692307,68.02610114192495,54.87627365356623,21.076923076923077,16.802610114192497,24.890829694323145
10,Suffolk County (Northwest)--Smithtown Town PUMA,27.819548872180448,14.627659574468085,59.61538461538461,69.54887218045113,81.64893617021278,40.38461538461539,2.631578947368421,3.723404255319149,0.0
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",23.536895674300254,12.921348314606742,32.325581395348834,69.46564885496184,82.86516853932584,58.372093023255815,6.997455470737914,4.213483146067416,9.30232558139535
12,Dutchess County (Southwest) PUMA,23.986293546544832,21.814006888633756,26.136363636363637,52.76984580239863,51.09070034443168,54.43181818181818,23.24386065105654,27.09529276693456,19.43181818181818
13,Ulster County (East) PUMA,22.68408551068884,12.5,36.187845303867405,56.53206650831354,69.58333333333333,39.226519337016576,20.783847980997624,17.916666666666668,24.585635359116022
14,Orange County (Northwest) PUMA,19.367088607594937,11.137440758293838,28.804347826086957,70.75949367088607,73.22274881516587,67.93478260869566,9.873417721518987,15.639810426540285,3.260869565217391
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",31.57894736842105,26.274944567627497,40.72657743785851,54.59649122807018,56.09756097560976,52.00764818355641,13.824561403508772,17.627494456762747,7.265774378585086
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",91.70731707317074,95.50561797752809,87.96680497925311,8.292682926829269,4.49438202247191,12.033195020746888,0.0,0.0,0.0
