,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,45.65701482346393,42.37359489004791,48.90738053345908,49.67781606128677,51.861100282117704,47.51651098594744,4.6651691152493,5.765304827834383,3.5761084805934784
1,Monroe County (Central)--Rochester City (East) PUMA,58.68546231033645,56.00805098960081,61.557282671272304,38.439637512586366,40.18785642401879,36.56447898675878,2.8749001770771847,3.8040925863804094,1.878238341968912
2,NYC-Brooklyn Community District 4--Bushwick PUMA,72.93938625412123,72.25186766275347,73.85196552945344,23.9614506720771,27.009960868018503,19.915004131743597,3.0991630738016736,0.7381714692280327,6.233030338802975
3,NYC-Manhattan Community District 10--Central Harlem PUMA,84.22194892570354,86.13159797541576,82.31036479444123,14.229906677277002,12.66811279826464,15.79328314997105,1.5481443970194602,1.200289226319595,1.8963520555877245
4,Ontario & Yates Counties PUMA,37.80642023346304,34.342936069455405,41.174213353798926,56.05544747081712,57.75453827940016,54.40330007674598,6.138132295719844,7.902525651144436,4.422486569455104
5,Albany County (Outside Albany City) PUMA,43.43774078739772,40.29006820659753,46.37085341650128,53.14384256937734,54.826440832678315,51.575938002079205,3.4184166432249308,4.883490960724156,2.0532085814195256
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",28.56306760847629,25.088815386500062,31.958022425282312,64.02825428859738,65.44979378496468,62.63916044850565,7.408678102926338,9.461390828535261,5.402817126212043
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,35.4885520799742,35.03258845437616,35.87976832434592,57.83080726647319,57.62337057728119,58.00878769722389,6.680640653552618,7.344040968342644,6.111443978430198
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",59.99606001904324,56.8187274909964,63.832717257374796,37.216403454049974,39.91596638655462,33.956657244328476,2.787536526906787,3.2653061224489797,2.2106254982967313
9,Warren & Washington Counties PUMA,26.305240202681034,21.68323564651404,30.83886541943271,66.38445256878968,70.03659207927204,62.802147190547274,7.31030722852928,8.280172274213918,6.358987390020012
10,Erie County (North Central) PUMA,62.342387697658985,59.163099019472455,65.48507462686567,35.46305407446395,39.25792938360264,31.711867491809247,2.194558227877068,1.5789715969249183,2.8030578813250817
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",84.70819414423266,82.53512132822478,88.18599897802758,14.05580664177638,15.909961685823754,11.088400613183444,1.2359992139909608,1.5549169859514687,0.7256004087889627
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,52.29311517118857,46.26424470910804,58.61759022066424,45.191147763911125,50.227058521120725,39.908318727248215,2.5157370649003137,3.508696769771228,1.4740910520875465
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,39.03078461580043,33.50485661424607,43.88164238948383,59.807021811400304,64.26341350601295,55.89504136425924,1.162193572799265,2.2317298797409806,0.22331624625691518
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,44.797687861271676,50.13850415512465,38.972809667673715,53.70905587668593,48.661126500461684,59.21450151057401,1.4932562620423893,1.2003693444136658,1.812688821752266
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,87.82971575549197,85.73391828320736,89.89677822959024,10.130967691136714,12.500660711454092,7.793764988009593,2.0393165533713025,1.7654210053385486,2.309456782400167
16,Onondaga County (Central)--Syracuse City PUMA,38.965695458362944,41.81616679365519,36.47478966164276,56.19872084759997,52.407009766572,59.5121360692452,4.835583694037082,5.776823439772806,4.01307426911204
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,44.9977936077665,41.85148838730782,47.922875737485555,52.61299880224421,54.622178606476936,50.74508849826653,2.389207589989283,3.526333006215244,1.3320357642479168
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,65.26804780279474,63.87341048721245,66.80582906656164,32.783875922526505,32.41177311044435,33.19417093343836,1.9480762746787548,3.714816402343192,0.0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",81.25287650217335,76.37773211283393,87.15109051870267,14.425978010738941,19.092097889034186,8.780653181150413,4.321145487087701,4.530169998131889,4.068256300146909
20,Monroe County (Central)--Rochester City (West) PUMA,26.78743702433273,19.517205957883924,34.71926482124846,61.6303998284918,66.90292758089367,55.87806791437857,11.582163147175475,13.579866461222393,9.402667264372969
21,"Chenango, Delaware & Broome (East) Counties PUMA",20.772581703896723,15.259537210756724,26.48547936327919,70.11716030473613,73.53033145716073,66.58025841467861,9.110257991367135,11.21013133208255,6.9342622220422045
22,Dutchess County (North & East) PUMA,37.75460815552777,33.50549270372192,41.869789599047245,58.548783930948254,61.57156910969012,55.621278285033746,3.6966079135239784,4.922938186587966,2.5089321159190154
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,54.37607640519806,49.19768934531451,59.309079792112506,41.870205104117744,46.99935815147625,36.984102720880465,3.7537184906842027,3.8029525032092426,3.7068174870070316
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,71.38918516431548,69.83872857198641,73.03795365833402,22.772735505423515,24.136045921355773,21.322979818951914,5.838079330261013,6.025225506657816,5.63906652271406
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,39.650198341146776,36.47245633321119,42.72867116317596,56.617381896862604,58.165384145596676,55.11773754585256,3.732419761990624,5.362159521192133,2.1535912909714825
26,Westchester County (Southeast) PUMA,81.23640882261573,77.69676320272573,84.86989367655288,17.303510406958683,21.17206132879046,13.33240067151651,1.460080770425598,1.131175468483816,1.79770565193061
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,31.82419520799647,29.111171513998368,35.019206145966706,65.79450242540055,68.08915466159281,63.0921895006402,2.381302366602969,2.7996738244088064,1.8886043533930859
28,Westchester County (Northwest) PUMA,59.88008803663133,52.0621513113301,67.24815724815724,37.703964178198284,44.25673914176965,31.528255528255528,2.4159477851703812,3.6811095469002555,1.2235872235872236
29,Monroe County (South) PUMA,59.05672775060232,57.15131072844547,60.913310462132785,38.67562239906549,39.58222380022487,37.79225646495805,2.2676498503321896,3.2664654713296644,1.294433072909159
30,Rockland County (North)--New City & Congers PUMA,58.96666544696111,47.673682544706445,68.68150568375195,39.01716125727249,48.915967716410826,30.50166768769995,2.016173295766402,3.410349738882735,0.8168266285480906
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",32.593150169363945,28.681572860447186,36.3235294117647,50.92209258562288,42.5597532767926,58.89705882352941,16.484757245013174,28.758673862760215,4.779411764705882
