,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,0.025514784172526533,0.027703195378248602,0.023629167200732354,0.048897666449893226,0.054359108202250574,0.04218165838098867,0.12246305913047842,0.11415368240944701,0.1360604958276839
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.04963216769122241,0.05865567533291059,0.041409861325115566,0.03320218788983783,0.0080370942812983,0.07441154138192863,0.12527472527472527,0.0,0.29081632653061223
2,Ulster County (East) PUMA,0.03107038282181976,0.0,0.05224288840262582,0.04365295755244956,0.05103056855521258,0.03361116758148675,0.02911392405063291,0.012756909992912827,0.053180396246089674
3,Albany County (East Central)--Albany City PUMA,0.029670605984410358,0.03284301293431397,0.026551982049364247,0.12217253224447469,0.08281600845330868,0.1600916263680326,0.5666243654822335,0.0,0.8496669838249287
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.03078501795792714,0.057933698101062116,0.0,0.06639907767197574,0.0766058266058266,0.056724611161939616,0.24111795357650403,0.27439353099730457,0.0
5,Ontario & Yates Counties PUMA,0.026365784718039017,0.06457103949160237,0.0,0.02485116987401357,0.026296806347957242,0.023235358792054534,0.11852861035422343,0.13612866168868468,0.052060737527114966
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.039821084674162885,0.05026563138536984,0.031064412973960714,0.05245754637673037,0.05949059490594906,0.04084967320261438,0.19120458891013384,0.19120458891013384,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.028323742620133024,0.022734680573663624,0.03305728088336784,0.05193140634668081,0.07531548910859255,0.02336769759450172,0.13333333333333333,0.11166875784190715,0.1637323943661972
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.025913477176623657,0.04030083723570314,0.017019036757610316,0.02611183355006502,0.02764698259104065,0.0237892948173322,0.05035685963521015,0.06046511627906977,0.028678304239401497
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.017695897218350402,0.019954045229169187,0.015427599611273081,0.034754205454842396,0.06058398591634796,0.004666949512091642,0.013040901007705987,0.020351526364477335,0.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0377221617700399,0.03487124463519313,0.03917808219178082,0.10922553099497379,0.18598940157683858,0.05405907486531674,0.43552064859386874,0.5768839103869654,0.29551185073121533
11,Livingston & Wyoming Counties PUMA,0.00816904476636532,0.0,0.01413760603204524,0.02193081618810762,0.027847598888741897,0.014098073555166376,0.12142857142857143,0.18944844124700239,0.04107648725212465
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.013249571673329526,0.0,0.023282653419639723,0.15615400368625845,0.17752161383285303,0.1317693488270116,0.1246928746928747,0.16302521008403362,0.10261374636979671
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,0.03444897959183674,0.04594112399643176,0.02781354622714396,0.047275545487063315,0.07474081055607917,0.0,0.04582210242587601,0.0,0.1457142857142857
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.020497803806734993,0.01828346932608039,0.02280232740997012,0.0837285581312885,0.11740817615738652,0.05121951219512195,0.057777777777777775,0.0,0.09420289855072464
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.03388984665638327,0.026152445584705784,0.04327743749372427,0.050552636347164344,0.0513675783855904,0.04958349861166204,0.0,0.0,0.0
16,Monroe County (Central)--Rochester City (East) PUMA,0.02147896195515243,0.027331393141844868,0.015677912956227266,0.1215156545131933,0.1872663177011003,0.04562268803945746,0.1632402577477754,0.15485362095531588,0.16879143294237633
17,Westchester County (Northwest) PUMA,0.03009848401018037,0.007127642143208259,0.04890976182489098,0.034155728128650954,0.017545807884508605,0.061125135232600075,0.05250596658711217,0.0,0.10451306413301663
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.015566955598797099,0.06616541353383458,0.0,0.06425607587433313,0.12248628884826325,0.02182600676298801,0.17411025819958129,0.35289957567185287,0.0
19,Onondaga County (Central)--Syracuse City PUMA,0.03642893791688045,0.0,0.06567992599444958,0.0997439180537772,0.13814814814814816,0.047532729103726086,0.20392390011890607,0.08909853249475891,0.3543956043956044
20,Westchester County (Northeast) PUMA,0.01937689969604863,0.02530954115076475,0.012907069102462271,0.0424997675067423,0.0291849387569938,0.06376811594202898,0.0,0.0,#DIV/0!
21,Madison & Cortland Counties PUMA,0.02049674463467567,0.024323798404358825,0.017803341550260202,0.03601679577209875,0.0387032748924909,0.03277116137798737,0.12449205762837089,0.12592270950933565,0.11633663366336634
22,Erie County (West Central)--Buffalo City (West) PUMA,0.016782683322208447,0.0,0.029040508208893655,0.06494192185850053,0.0788280432507848,0.046710425889177225,0.0,0.0,0.0
