,puma,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,36.65364681516335,35.87891986062718,37.71084194135057
1,Monroe County (Central)--Rochester City (East) PUMA,62.69230769230769,100.0,47.28260869565217
2,NYC-Brooklyn Community District 4--Bushwick PUMA,2.6217228464419478,4.468085106382979,0.0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,4.321683577602405,0.0,10.341726618705035
4,Ontario & Yates Counties PUMA,39.50617283950617,#DIV/0!,39.50617283950617
5,Albany County (Outside Albany City) PUMA,100.0,100.0,100.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",100.0,100.0,100.0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,43.29090909090909,42.677419354838705,44.083333333333336
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",15.346358792184725,7.251908396946565,30.479102956167175
9,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
10,Erie County (North Central) PUMA,29.7029702970297,37.406483790523694,0.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.0,#DIV/0!,0.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,100.0,100.0,100.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,100.0,100.0,100.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6.700167504187604,0.0,10.416666666666668
16,Onondaga County (Central)--Syracuse City PUMA,15.006150061500614,28.368794326241137,7.909604519774012
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,78.99115964638585,63.11360448807854,88.34710743801652
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,87.5,100.0,76.19047619047619
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.0,0.0,0.0
20,Monroe County (Central)--Rochester City (West) PUMA,100.0,100.0,100.0
21,"Chenango, Delaware & Broome (East) Counties PUMA",100.0,100.0,100.0
22,Dutchess County (North & East) PUMA,31.038798498122656,46.15384615384615,21.35523613963039
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,28.563316297558206,42.428035043804755,17.04781704781705
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,33.18705430608887,38.82175226586103,29.97416020671835
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,47.60820045558087,45.68181818181819,49.54337899543379
26,Westchester County (Southeast) PUMA,19.340519974635384,17.79100529100529,55.38461538461539
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,38.29968723343759,47.55532681420484,26.874205844980942
28,Westchester County (Northwest) PUMA,6.809229037703996,14.243672748675692,0.0
29,Monroe County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
30,Rockland County (North)--New City & Congers PUMA,52.459016393442624,17.613636363636363,100.0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",2.110329507589782,1.8615944961554027,2.320027294438758
32,Orange County (Southeast) PUMA,94.26699426699426,67.56756756756756,96.93693693693693
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",35.07947976878613,35.47381546134664,34.5360824742268
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,6.72082717872969,0.0,61.48648648648649
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",46.686596910812156,59.339622641509436,32.52375923970433
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,24.46078431372549,20.853462157809986,30.075187969924812
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,100.0,100.0,100.0
38,Westchester County (Southwest)--Yonkers City PUMA,34.21800947867298,43.76004284949116,20.49306625577812
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0,0.0,0.0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,0.0,0.0,0.0
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,31.365638766519822,28.401585204755612,37.301587301587304
42,Erie County (West Central)--Buffalo City (West) PUMA,45.211581291759465,85.08474576271186,25.70480928689884
43,Fulton & Montgomery Counties PUMA,100.0,#DIV/0!,100.0
44,Westchester County (Central)--White Plains City PUMA,51.326111318640265,54.40573770491803,43.03448275862069
45,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
46,Saratoga County (South & Central) PUMA,13.123359580052494,0.0,100.0
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,67.70114942528735,39.30885529157667,100.0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,5.432098765432099,#DIV/0!,5.432098765432099
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!
50,Suffolk County (Central)--Islip Town (East) PUMA,100.0,100.0,#DIV/0!
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0
52,Westchester County (Northeast) PUMA,34.22818791946309,0.0,58.620689655172406
53,Chautauqua County PUMA,0.0,0.0,0.0
54,Erie County (West Central)--Buffalo City (East) PUMA,16.715542521994134,16.715542521994134,#DIV/0!
55,Cayuga & Onondaga (South) Counties PUMA,76.47058823529412,30.434782608695656,100.0
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,29.527559055118108,51.89393939393939,13.611859838274935
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,91.11338100102145,83.46007604562737,100.0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
59,NYC-Manhattan Community District 11--East Harlem PUMA,0.0,0.0,0.0
60,Schenectady County--Schenectady City PUMA,78.64077669902912,#DIV/0!,78.64077669902912
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,#DIV/0!,100.0
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,100.0,100.0,100.0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",78.00125707102451,87.64478764478764,68.7960687960688
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",70.01582278481013,22.810590631364562,100.0
65,Onondaga County (North) PUMA,100.0,100.0,100.0
66,Ulster County (East) PUMA,75.47528517110266,60.679611650485434,85.0
67,Oswego County PUMA,100.0,100.0,#DIV/0!
68,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
69,Broome (Outer West) & Tioga Counties PUMA,100.0,#DIV/0!,100.0
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",0.0,0.0,0.0
71,Suffolk County (Southwest)--Islip Town (South) PUMA,100.0,100.0,100.0
72,Erie County (Central) PUMA,51.61290322580645,100.0,30.76923076923077
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",18.562564632885213,0.0,61.158432708688245
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
