,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.09754673709083328,0.0891508823402511,0.1038683635595767,0.29119664395185185,0.23753355535371884,0.3450901218651942,0.5627226982184143,0.4962161052820605,0.6377608613852789
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,0.0,0.18479685452162517,0.1653061224489796,0.21978021978021978,0.7257383966244726,1.0,0.6158392434988179
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.022272433828276306,0.0,0.04866008462623413,0.1660377358490566,0.3035311795642374,0.050505050505050504,0.3640552995391705,0.0,0.3940149625935162
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0,0.34424205001543684,0.37157221206581353,0.2873453853472883,0.5843301435406698,0.7483124397299904,0.3165354330708661
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.1793478260869565,0.23515439429928742,0.0,0.020689655172413793,0.020689655172413793,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.39306736429038586,0.5299625468164794,0.07592190889370933,1.0,1.0,1.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.814262023217247,#DIV/0!,0.814262023217247,0.12711148648648649,0.0,0.5403949730700179,0.5632530120481928,0.0,1.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.07407407407407407,0.0,1.0,0.2789808917197452,0.022388059701492536,0.4119922630560928,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.044970729111229374,0.08395429706905116,0.0,0.3059263214095035,0.0,0.5913312693498453,1.0,#DIV/0!,1.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.14598264805733685,0.0,0.23948019801980197,0.6739336492890995,0.6739336492890995,#DIV/0!
11,Erie County (Northwest) PUMA,0.0,#DIV/0!,0.0,0.46422487223168657,0.4296724470134875,0.4916030534351145,1.0,1.0,1.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.06341463414634146,0.03305084745762712,0.11729323308270677,0.28868194842406875,0.06907894736842106,0.4581218274111675,0.5447338618346546,#DIV/0!,0.5447338618346546
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.25293289535429375,0.2644526445264453,0.24582701062215478,0.3330709694346058,0.3531967721911856,0.3183367416496251,0.7527593818984547,0.7645348837209303,0.7429034874290349
14,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,0.20306716023268112,0.1036557149467839,0.33559531153608885,0.23668639053254437,0.5194805194805194,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.08866995073891626,0.0,0.13740458015267176,0.0,0.0,0.0,0.875,0.0,1.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,0.11450381679389313,0.11811023622047244,0.11221945137157108,0.30388324211623663,0.05896805896805897,0.5804661487236404,0.7051005747126436,0.7960634226353198,0.5308900523560209
