,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.10403213216196654,0.1353167658382919,0.08269474086275633,0.2752982279437223,0.2011315915698386,0.3609399902790808,0.38995991349754733,0.3151723509858385,0.49288713417309016
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.07625649913344887,0.0,0.1575178997613365,0.40900818926296634,0.4540268456375839,0.3142655367231638,0.5441941074523396,0.45539906103286387,0.7947019867549668
2,Ulster County (East) PUMA,0.2828282828282828,0.0,0.56,0.26594090202177295,0.6240875912408759,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,Albany County (East Central)--Albany City PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0,0.5003248862897985,0.531317494600432,0.47483718176435763,0.4273170731707317,0.3795180722891566,0.5152354570637119
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,1.0,#DIV/0!,1.0,0.0,0.0,0.0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,#DIV/0!,0.0,1.0,1.0,#DIV/0!,0.6405959031657356,0.0,1.0
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.08551483420593368,0.0,0.10286913925822254,0.2912511332728921,0.18689320388349515,0.42422680412371133,0.4199919387343813,0.2239540607054963,0.6093502377179081
11,Livingston & Wyoming Counties PUMA,0.7990867579908676,1.0,0.0,0.0,#DIV/0!,0.0,1.0,#DIV/0!,1.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.0,0.5262615859938208,0.0,0.7,0.644808743169399,0.3157894736842105,1.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.05537459283387622,0.0,0.24170616113744076,0.8600682593856656,#DIV/0!,0.8600682593856656
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.7523219814241486,#DIV/0!,0.7523219814241486
16,Monroe County (Central)--Rochester City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
17,Westchester County (Northwest) PUMA,0.0,0.0,0.0,0.2656972901520159,0.14215341308937368,0.3750778816199377,0.19458128078817735,0.0,0.4040920716112532
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,#DIV/0!,0.0,0.11465968586387434,0.0,0.22694300518134716,0.30971128608923887,0.3269230769230769,0.2727272727272727
19,Onondaga County (Central)--Syracuse City PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
20,Westchester County (Northeast) PUMA,0.0,0.0,0.0,0.5192943770672547,0.37980085348506404,1.0,0.0,0.0,0.0
21,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,#DIV/0!,0.6088709677419355,1.0,0.4294117647058823,0.0,0.0,#DIV/0!
24,Suffolk County (Central)--Islip Town (East) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.08,1.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,#DIV/0!,1.0,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.19852553975776724,0.1336116910229645,0.26461211477151964,0.23718803581634598,0.09030492572322127,0.37681159420289856,0.45234899328859063,0.3796347537354732,0.5208550573514077
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.19480519480519481,#DIV/0!,0.19480519480519481,#DIV/0!,#DIV/0!,#DIV/0!
28,Columbia & Greene Counties PUMA,0.0,0.0,#DIV/0!,1.0,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,0.16555740432612312,0.16054502369668247,0.17737430167597765,1.0,#DIV/0!,1.0
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Schenectady County--Schenectady City PUMA,0.0,#DIV/0!,0.0,0.11984282907662082,0.0,0.18100890207715134,#DIV/0!,#DIV/0!,#DIV/0!
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0,0.21204188481675393,0.0,0.44505494505494503,0.1922723091076357,0.0,0.36795774647887325
34,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
36,Suffolk County (East) PUMA,0.0,0.0,0.0,0.6337719298245614,0.332,1.0,0.5064220183486239,0.6026200873362445,0.0
37,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.5222672064777328,1.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.05518496058217101,0.0,0.06750741839762611,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,#DIV/0!,0.0,0.0,0.0,0.0,1.0,1.0,#DIV/0!
40,Westchester County (Central)--White Plains City PUMA,0.0,0.0,0.0,0.12021563342318059,0.09332191780821918,0.16593886462882096,0.0,0.0,0.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.4756521739130435,1.0,0.3846938775510204,0.3928150765606596,0.24594594594594596,0.5062630480167014,0.7339578454332553,0.7101303911735206,0.7548330404217927
42,Erie County (North Central) PUMA,0.0,0.0,#DIV/0!,1.0,#DIV/0!,1.0,1.0,#DIV/0!,1.0
43,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
44,Dutchess County (Southwest) PUMA,0.0,0.0,0.0,0.4915514592933948,0.21428571428571427,0.7873015873015873,0.5476190476190477,0.0,0.6699029126213593
45,Westchester County (Southeast) PUMA,0.3241687979539642,0.3817771084337349,0.0,0.47213622291021673,0.5724594107035478,0.2909880564603692,0.12804453723034098,0.1698984302862419,0.0
46,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,0.2304230423042304,0.0,0.3710144927536232,0.0,0.0,0.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,0.7251082251082251,#DIV/0!,0.7251082251082251
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.6146788990825688,0.0,1.0,1.0,1.0,#DIV/0!
49,Erie County (West Central)--Buffalo City (East) PUMA,0.3672316384180791,#DIV/0!,0.3672316384180791,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
