,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,10.40599132834056,10.796477452660348,10.073278690039459,17.467800425159435,16.172698442309486,18.96537777058728,31.783772968286257,32.38100990577434,31.047576502121956
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,7.053469852104664,15.5,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,100.0,#DIV/0!,100.0,38.31775700934579,0.0,53.94736842105263,#DIV/0!,#DIV/0!,#DIV/0!
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",32.57918552036199,27.70137524557957,34.971098265895954,8.457040035987404,12.440944881889763,3.147953830010493,33.210332103321036,100.0,0.0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",7.822954194544519,3.5126722987994663,10.53072625698324,15.153500561587421,11.482903638690804,19.00287631831256,10.240427426536064,0.0,21.863117870722434
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",5.932203389830509,#DIV/0!,5.932203389830509,81.203007518797,100.0,75.72815533980582,#DIV/0!,#DIV/0!,#DIV/0!
8,Erie County (Northwest) PUMA,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,5.30599467835342,11.742293037755456,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",20.43513623424156,16.101694915254235,22.627066748315983,0.0,0.0,0.0,0.0,0.0,0.0
11,Saratoga County (South & Central) PUMA,0.0,0.0,0.0,20.212765957446805,0.0,31.666666666666664,#DIV/0!,#DIV/0!,#DIV/0!
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
13,Columbia & Greene Counties PUMA,20.206489675516224,26.446280991735538,13.015873015873018,59.925093632958806,53.25443786982249,71.42857142857143,0.0,0.0,0.0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6.092666909886903,12.180889861415025,0.0,12.406645328456028,8.242329693187727,18.30570902394107,15.004336513443192,0.0,27.1585557299843
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,3.178639542275906,0.0,4.9950049950049955,2.44299674267101,0.0,3.296703296703297,0.0,#DIV/0!,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,6.4048620850864895,6.2132661628883294,6.645569620253164,0.0,0.0,0.0,41.899441340782126,33.11897106109325,100.0
